Lake,comparison,z,p_adj
Rotorua,Summer - Autumn,-52.01845643901012,0
Rotorua,Summer - Winter,-61.219168041563705,0
Rotorua,Autumn - Winter,-9.13686661767082,3.857279559464766e-19
Rotorua,Summer - Spring,-58.54829275449876,0
Rotorua,Autumn - Spring,-7.37485292799237,9.871594504569883e-13
Rotorua,Winter - Spring,1.587003860714141,0.6750706213994552
Rotoiti,Summer - Autumn,-1.0630343524104333,1
Rotoiti,Summer - Winter,-48.32568849187316,0
Rotoiti,Autumn - Winter,-48.26723063187943,0
Rotoiti,Summer - Spring,-51.56079327037555,0
Rotoiti,Autumn - Spring,-51.573023106839614,0
Rotoiti,Winter - Spring,-3.110481872775431,0.011206941587075088
Rotoehu,Summer - Autumn,-77.25544597885909,0
Rotoehu,Summer - Winter,-84.23903584201852,0
Rotoehu,Autumn - Winter,-7.313462281014184,1.5620724707852616e-12
Rotoehu,Summer - Spring,-73.60971748049855,0
Rotoehu,Autumn - Spring,2.421670677778106,0.09269606503301843
Rotoehu,Winter - Spring,9.594625774592272,5.053330473017955e-21
Rotomā,Summer - Autumn,3.2659373553637057,0.006546142946820623
Rotomā,Summer - Winter,-0.09565629778107552,1
Rotomā,Autumn - Winter,-3.2848959699864917,0.006121201940288333
Rotomā,Summer - Spring,-4.465166062854581,4.8004002767532036e-5
Rotomā,Autumn - Spring,-7.646980700099255,1.2345191579666498e-13
Rotomā,Winter - Spring,-4.268006373718775,1.1833661636984012e-4
Ōkataina,Summer - Autumn,41.56740090637003,0
Ōkataina,Summer - Winter,13.032479821262385,4.797948153455179e-38
Ōkataina,Autumn - Winter,-27.56941261247627,1.553979983566634e-166
Ōkataina,Summer - Spring,-10.755903057031025,3.3352110921202376e-26
Ōkataina,Autumn - Spring,-45.65561852323975,0
Ōkataina,Winter - Spring,-21.62222957275165,6.659053056964154e-103
Ōkāreka,Summer - Autumn,-26.488057059196144,7.983483636728163e-154
Ōkāreka,Summer - Winter,-80.23773845189243,0
Ōkāreka,Autumn - Winter,-55.06063011572189,0
Ōkāreka,Summer - Spring,-67.90862319744619,0
Ōkāreka,Autumn - Spring,-42.66330602373026,0
Ōkāreka,Winter - Spring,11.908567160700501,6.407798789869958e-32
Tikitapu,Summer - Autumn,0.7993072276749328,1
Tikitapu,Summer - Winter,-8.348389166509017,4.1520143605795537e-16
Tikitapu,Autumn - Winter,-8.939185679784677,2.3522916976459163e-18
Tikitapu,Summer - Spring,-7.708443223284319,7.641705483084006e-14
Tikitapu,Autumn - Spring,-8.321728109697176,5.20139919154017e-16
Tikitapu,Winter - Spring,0.7854489291555008,1
Tarawera,Summer - Autumn,-45.53375792401988,0
Tarawera,Summer - Winter,-46.75363218957691,0
Tarawera,Autumn - Winter,-1.9428300242999845,0.31222019366380577
Tarawera,Summer - Spring,-52.223324955561786,0
Tarawera,Autumn - Spring,-6.942416263396184,2.31269660314438e-11
Tarawera,Winter - Spring,-4.90424938176002,5.6271166465292104e-6
Rotomāhana,Summer - Autumn,3.01414446698691,0.015462303619187039
Rotomāhana,Summer - Winter,-6.056933786231694,8.324439792854338e-9
Rotomāhana,Autumn - Winter,-8.987368450386466,1.5193234138031435e-18
Rotomāhana,Summer - Spring,-6.160624804117465,4.347508974877648e-9
Rotomāhana,Autumn - Spring,-9.146444409326813,3.5302944115397525e-19
Rotomāhana,Winter - Spring,0.013664964356985013,1
Ōkaro,Summer - Autumn,-49.40555140871045,0
Ōkaro,Summer - Winter,-92.22960161669201,0
Ōkaro,Autumn - Winter,-45.190854284027495,0
Ōkaro,Summer - Spring,-46.62517808224249,0
Ōkaro,Autumn - Spring,1.564848362119876,0.7057108134506277
Ōkaro,Winter - Spring,45.55764718214326,0
Rerewhakaaitu,Summer - Autumn,-73.54505836216552,0
Rerewhakaaitu,Summer - Winter,-74.91629936149207,0
Rerewhakaaitu,Autumn - Winter,-6.3985266697222,9.413000656832833e-10
Rerewhakaaitu,Summer - Spring,-63.20316923884104,0
Rerewhakaaitu,Autumn - Spring,2.0799828771559885,0.22516262065172404
Rerewhakaaitu,Winter - Spring,7.587810123597933,1.952143254479809e-13
