Lake,kw_chi2,kw_df,kw_p,n,sig
Rotorua,4815.055494477886,3,0,11388,***
Rotoiti,4997.965113738949,3,0,8336,***
Rotoehu,8922.645972909928,3,0,14338,***
Rotomā,59.02762231806142,3,9.483341803678913e-13,214,***
Ōkataina,2714.666810407342,3,0,5031,***
Ōkāreka,8337.855419352638,3,0,11985,***
Tikitapu,139.3301013250516,3,5.271079772549669e-30,211,***
Tarawera,3611.590763677873,3,0,13417,***
Rotomāhana,123.97080416706142,3,1.0768208419036389e-26,215,***
Ōkaro,8510.81054630323,3,0,20339,***
Rerewhakaaitu,7376.212882097627,3,0,14220,***
