"Lake name","Surface area (km²)","Perimeter length (km)","Catchment area (km²)","Mean depth (m)","Maximum depth (m)","Elevation (m)","Mixing regime","Trophic state"
"Rotorua",81,45,508,11,45,280,"Polymictic","Eutrophic"
"Rotoiti",34,61,123.7,31.5,124,279,"Monomictic","Mesotrophic"
"Rotoehu",8,40,49.2,8,13.5,295,"Polymictic","Eutrophic"
"Rotomā",11,24,27.8,36.9,83,316,"Monomictic","Oligotrophic"
"Ōkataina",11,29,59.8,39.4,78.5,305,"Monomictic","Oligotrophic"
"Ōkāreka",3,11,19.6,20,33.5,355,"Monomictic","Mesotrophic"
"Tikitapu",1,5,6.2,18,27.5,355,"Monomictic","Oligotrophic"
"Rotokākahi",4,16,NA,17.5,32,395,"Monomictic","Mesotrophic"
"Tarawera",41,48,143.1,50,87.5,305,"Monomictic","Mesotrophic"
"Rotomahana",9,27,83.3,60,125,340,"Monomictic","Mesotrophic"
"Ōkaro",0.3,2,3.9,12.5,18,280,"Monomictic","Super-trophic"
"Rerewhakaaitu",5,25,37,7,15.8,NA,"Polymictic","Mesotrophic"
