Lake,estimate,std.error,p.value,sig,direction
Rotorua,-0.48368257784553287,0.2486956413032946,0.0646824104660221,ns,decreasing
Rotoiti,-0.3061120360177492,0.26833482106559536,0.2662266577943062,ns,decreasing
Rotoehu,-0.2902618559928842,0.1136688913707438,0.018110050273804704,*,decreasing
Rotomā,-0.3338491803278767,0.10239912967064249,0.004345905517198964,**,decreasing
Ōkataina,0.08133365060238658,0.1506401960295735,0.5952135759518635,ns,increasing
Ōkāreka,-0.40685434245917684,0.17030842818725353,0.025905052632676902,*,decreasing
Tikitapu,-0.25483489884486643,0.11459495944063129,0.03920177912166594,*,decreasing
Tarawera,-0.02476829236857336,0.02508970236328127,0.3342833345161129,ns,decreasing
Rotomāhana,-0.8703466661749505,0.22254403266047498,0.0010242420702930265,**,decreasing
Ōkaro,0.19415198596687033,0.15994084520657487,0.23765752263964865,ns,increasing
Rerewhakaaitu,-0.4059255247745007,0.2074455780024479,0.06318341116815725,ns,decreasing
