Lake,Season,estimate,std.error,p.value,sig,direction
Rotorua,Summer,-1.1123040171182854,0.782495999837257,0.16985815921061675,ns,decreasing
Rotorua,Autumn,-0.25995838431757434,0.1818652915977044,0.16759760288763648,ns,decreasing
Rotorua,Winter,-0.01027360976504296,0.02045646773463656,0.6205038166205243,ns,decreasing
Rotorua,Spring,-0.5118869586495027,0.3624800379773487,0.17254494099582907,ns,decreasing
Rotoiti,Summer,-0.2830974607112289,0.5770813940369922,0.6288190821052844,ns,decreasing
Rotoiti,Autumn,-0.1949026275695418,0.3891885014394173,0.6217257122545767,ns,decreasing
Rotoiti,Winter,-0.2642059105348243,0.21521576718864044,0.23255888943114325,ns,decreasing
Rotoiti,Spring,-0.04570952635156981,0.027320314941829318,0.10914113242382086,ns,decreasing
Rotoehu,Summer,-0.6357244500831798,0.39202532830277725,0.11979910470863162,ns,decreasing
Rotoehu,Autumn,-0.12464402927428692,0.08510197773599171,0.15782949620329007,ns,decreasing
Rotoehu,Winter,-2.0885605716640694e-15,1.205831008269155e-15,0.09726417772965379,ns,decreasing
Rotoehu,Spring,-0.13033948009761384,0.05729090687474019,0.03350469359347221,*,decreasing
Rotomā,Summer,-0.5320123300063773,0.22273194858737205,0.028783469349685852,*,decreasing
Rotomā,Autumn,-0.724543960886799,0.27555033699423265,0.017574932875761493,*,decreasing
Rotomā,Winter,-0.0947047871766978,0.18743347229645824,0.619498855839032,ns,decreasing
Rotomā,Spring,9.780580990249442e-16,5.646821067550265e-16,0.10136790799854711,ns,increasing
Ōkataina,Summer,0.034542872544922165,0.2975903590038397,0.908810990055597,ns,increasing
Ōkataina,Autumn,0.3359563960482651,0.30960880765582627,0.29145432798436544,ns,increasing
Ōkataina,Winter,0.23210726308476415,0.2962701076715767,0.4425532064120431,ns,increasing
Ōkataina,Spring,-0.022221155149803756,0.01677529767526558,0.20186476275165055,ns,decreasing
Ōkāreka,Summer,-1.2973713754258487,0.2675512723173247,8.566907217895834e-5,***,decreasing
Ōkāreka,Autumn,-0.1394727019177682,0.12741882820487765,0.2860881197097887,ns,decreasing
Ōkāreka,Winter,-0.0938749488240679,0.0661227754996102,0.1697087113149422,ns,decreasing
Ōkāreka,Spring,-0.4823851407396628,0.14175490649259875,0.0026794244601897874,**,decreasing
Tikitapu,Summer,-0.4522698877510144,0.2651427430462615,0.10625475782451421,ns,decreasing
Tikitapu,Autumn,-0.14482733284397675,0.2050390872606588,0.4895450352336044,ns,decreasing
Tikitapu,Winter,-0.06998234337201191,0.031809077131570905,0.04110247475309676,*,decreasing
Tikitapu,Spring,-0.22999118645179842,0.1404850825706272,0.11998123285166261,ns,decreasing
Tarawera,Summer,-0.21313608837153677,0.206768121938147,0.3143622633336617,ns,decreasing
Tarawera,Autumn,-0.03162054369340113,0.025221488299664956,0.22372388578182034,ns,decreasing
Tarawera,Winter,-0.027246166034407847,0.0847494873411708,0.7508731103228647,ns,decreasing
Tarawera,Spring,-0.007262063387965727,0.00806319371771129,0.37799097909170465,ns,decreasing
Rotomāhana,Summer,-0.592599226446179,0.3242160800093543,0.08518636395298795,ns,decreasing
Rotomāhana,Autumn,-2.7205735060997864,0.545022192865503,1.115041437803026e-4,***,decreasing
Rotomāhana,Winter,-0.06618511196123714,0.04978720280717183,0.20033304573601074,ns,decreasing
Rotomāhana,Spring,-0.13323514209169654,0.07190807389767394,0.0813447808825436,ns,decreasing
Ōkaro,Summer,0.14212433849301678,0.3458452784956863,0.6852740911830064,ns,increasing
Ōkaro,Autumn,0.6158573403840392,0.2332145985349741,0.015285922276546272,*,increasing
Ōkaro,Winter,-0.08610998570246416,0.27242479593477253,0.7549156965996507,ns,decreasing
Ōkaro,Spring,0.13781926543213083,0.2531188651040542,0.5918435947278768,ns,increasing
Rerewhakaaitu,Summer,-0.8378960062827171,0.6207218431418371,0.19142846616212036,ns,decreasing
Rerewhakaaitu,Autumn,-0.20315849844109146,0.1999386380465248,0.32114435856244894,ns,decreasing
Rerewhakaaitu,Winter,-1.0204637311590327e-8,1.0896614510303838e-8,0.35918516302116066,ns,decreasing
Rerewhakaaitu,Spring,-0.2548396907583132,0.27486824171417246,0.36439078816618664,ns,decreasing
